code,name,regional_name,periphery_cluster,socio_cluster,socio_cluster_local,is_eligible
563,משמר דוד,גזר,6,8,8,False
739,שדה עוזיהו,באר טוביה,6,7,7,False
1102,צוקי ים,עמק חפר,6,8,8,False
872,גאולי תימן,עמק חפר,6,8,8,False
425,משמרת,לב השרון,6,8,8,False
521,עין נקובא,מטה יהודה,6,7,7,False
698,בורגתה,עמק חפר,6,8,8,False
422,חרב לאת,עמק חפר,6,8,8,False
1148,צור נתן,דרום השרון,6,8,8,False
1072,גן הדרום,גדרות,6,9,9,False
217,"כפר הרא""ה",עמק חפר,6,8,8,False
78,קריית ענבים,מטה יהודה,6,7,7,False
1264,כרמי יוסף,גזר,6,8,8,False
219,חיבת ציון,עמק חפר,6,8,8,False
197,מעברות,עמק חפר,6,8,8,False
1066,"בני עי""ש",,6,5,,True
334,קבוצת יבנה,חבל יבנה,6,6,6,False
3560,אלקנה,,6,8,,False
204,אלישיב,עמק חפר,6,8,8,False
235,חבצלת השרון,עמק חפר,6,8,8,False
6500,חדרה,,6,6,,False
160,חולדה,גזר,6,8,8,False
3720,שערי תקווה,שומרון,6,6,6,False
1137,קריית יערים,,6,2,,True
252,ביתן אהרן,עמק חפר,6,8,8,False
857,כפר אביב,גדרות,6,9,9,False
672,בית נקופה,מטה יהודה,6,7,7,False
1077,גבעת שפירא,עמק חפר,6,8,8,False
638,קלנסווה,,6,3,,True
1141,מבוא מודיעים,חבל מודיעין,6,7,7,False
592,בני דרום,חבל יבנה,6,6,6,False
807,חניאל,עמק חפר,6,8,8,False
897,מדרשת רופין,עמק חפר,6,8,8,False
763,שתולים,באר טוביה,6,7,7,False
2010,כפר בן נון,גזר,6,8,8,False
472,אבו גוש,,6,3,,True
2039,קריית יערים (מוסד),מטה יהודה,6,7,7,False
1094,כרם יבנה (ישיבה),חבל יבנה,6,6,6,False
1361,בת חן,עמק חפר,6,8,8,False
753,ינוב,לב השרון,6,8,8,False
2002,תנובות,לב השרון,6,8,8,False
1144,ידידה,מטה יהודה,6,,,False
875,כפר עבודה,לב השרון,6,,,False
370,גזר,גזר,6,8,8,False
615,קדרון,ברנר,6,8,8,False
194,משמר השרון,עמק חפר,6,8,8,False
387,כפר מונש,עמק חפר,6,8,8,False
764,כפר מרדכי,גדרות,6,9,9,False
661,שער אפרים,לב השרון,6,8,8,False
685,בניה,ברנר,6,8,8,False
1224,כוכב יאיר,,6,9,,False
720,ניר גלים,חבל יבנה,6,6,6,False
193,כפר חיים,עמק חפר,6,8,8,False
3797,מודיעין עילית,,6,1,,True
187,כפר הס,לב השרון,6,8,8,False
856,שעלבים,גזר,6,8,8,False
848,בית רבן,חבל יבנה,6,6,6,False
379,גאולים,לב השרון,6,8,8,False
162,חירות,לב השרון,6,8,8,False
765,משגב דב,גדרות,6,9,9,False
3796,כפר האורנים,מטה בנימין,6,5,5,True
555,שדמה,גדרות,6,9,9,False
1333,נוף איילון,גזר,6,8,8,False
731,מישר,גדרות,6,9,9,False
597,פלמחים,גן רווה,6,8,8,False
838,פדיה,גזר,6,8,8,False
1345,צור יצחק,דרום השרון,6,8,8,False
4000,חיפה,,6,7,,False
591,עשרת,גדרות,6,9,9,False
3823,גני מודיעין,מטה בנימין,6,5,5,True
191,הדר עם,עמק חפר,6,8,8,False
880,עין שריד,לב השרון,6,8,8,False
839,פתחיה,גזר,6,8,8,False
2730,טייבה,,6,3,,True
233,כפר ידידיה,עמק חפר,6,8,8,False
2550,גדרה,,6,7,,False
710,בית זית,מטה יהודה,6,7,7,False
168,כפר יונה,,6,7,,False
1015,מבשרת ציון,,6,8,,False
670,משמר איילון,גזר,6,8,8,False
743,כפר שמואל,גזר,6,8,8,False
3760,אורנית,,6,8,,False
3770,חשמונאים,מטה בנימין,6,5,5,True
745,גמזו,חבל מודיעין,6,7,7,False
716,אייל,דרום השרון,6,8,8,False
276,צור משה,לב השרון,6,8,8,False
154,תל מונד,,6,9,,False
1236,נירית,דרום השרון,6,8,8,False
157,עין ורד,לב השרון,6,8,8,False
571,בית גמליאל,חבל יבנה,6,6,6,False
301,בית עוזיאל,גזר,6,8,8,False
171,פרדסייה,,6,9,,False
1050,בית חשמונאי,גזר,6,8,8,False
1310,לפיד,חבל מודיעין,6,7,7,False
707,כפר דניאל,חבל מודיעין,6,7,7,False
711,עזריה,גזר,6,8,8,False
195,קדימה-צורן,,6,8,,False
417,יקום,חוף השרון,6,8,8,False
446,אודים,חוף השרון,6,8,8,False
412,קריית שלמה,חוף השרון,6,,,False
1166,כפר רות,חבל מודיעין,6,7,7,False
760,בן זכאי,חבל יבנה,6,6,6,False
759,יציץ,גזר,6,8,8,False
175,אביחיל,עמק חפר,6,8,8,False
1315,מתן,דרום השרון,7,8,8,False
288,בית יהושע,חוף השרון,6,8,8,False
287,תל יצחק,חוף השרון,6,8,8,False
1165,שילת,חבל מודיעין,6,7,7,False
